title,date,raw_date,place,summary,url,supplements
Совещание с постоянными членами Совета Безопасности,2025-01-10,10 января 2025 года,"Московская область, Ново-Огарёво","Владимир Путин по видеосвязи провёл оперативное совещание с постоянными
членами Совета Безопасности.",http://kremlin.ru/events/president/news/76095,[]
Совещание с членами Правительства,2025-01-09,9 января 2025 года,"Московская область, Ново-Огарёво","Президент в режиме видеоконференции провёл
совещание с членами Правительства.",http://kremlin.ru/events/president/news/76094,"[{'title': 'No title', 'date': None, 'content': 'Участники совещания с\xa0членами Правительства (в\xa0режиме видеоконференции)  9 января 2025 года     Постоянные участники:МИШУСТИН Михаил Владимирович\xa0– Председатель Правительства Российской ФедерацииВАЙНО Антон Эдуардович\xa0– Руководитель Администрации Президента Российской ФедерацииМАНТУРОВ Денис Валентинович\xa0– Первый заместитель Председателя Правительства Российской Федерации КИРИЕНКО Сергей Владиленович\xa0– первый заместитель Руководителя Администрации Президента Российской ФедерацииОРЕШКИН Максим Станиславович\xa0– заместитель Руководителя Администрации Президента Российской ФедерацииГОЛИКОВА Татьяна Алексеевна\xa0– Заместитель Председателя Правительства Российской ФедерацииГРИГОРЕНКО Дмитрий Юрьевич\xa0– Заместитель Председателя Правительства Российской Федерации\xa0– Руководитель Аппарата Правительства Российской ФедерацииНОВАК Александр Валентинович\xa0– Заместитель Председателя Правительства Российской ФедерацииОВЕРЧУК Алексей Логвинович\xa0– Заместитель Председателя Правительства Российской ФедерацииПАТРУШЕВ Дмитрий Николаевич\xa0– Заместитель Председателя Правительства Российской ФедерацииСАВЕЛЬЕВ Виталий Геннадьевич\xa0– Заместитель Председателя Правительства Российской ФедерацииТРУТНЕВ Юрий Петрович\xa0– Заместитель Председателя Правительства Российской Федерации\xa0– полномочный представитель Президента Российской Федерации в\xa0Дальневосточном федеральном округеХУСНУЛЛИН Марат Шакирзянович\xa0– Заместитель Председателя Правительства Российской ФедерацииЧЕРНЫШЕНКО Дмитрий Николаевич\xa0– Заместитель Председателя Правительства Российской ФедерацииРЕШЕТНИКОВ Максим Геннадьевич\xa0– Министр экономического развития Российской ФедерацииСИЛУАНОВ Антон Германович\xa0– Министр финансов Российской ФедерацииПриглашённые:КОЗЛОВ Александр Александрович\xa0– Министр природных ресурсов и\xa0экологии Российской ФедерацииКУРЕНКОВ Александр Вячеславович\xa0– Министр Российской Федерации по\xa0делам гражданской обороны, чрезвычайным ситуациям и\xa0ликвидации последствий стихийных бедствийЛЮБИМОВА Ольга Борисовна\xa0–Министр культуры Российской ФедерацииМУРАШКО Михаил Альбертович\xa0– Министр здравоохранения Российской ФедерацииРАДИОНОВА Светлана Геннадьевна\xa0– Руководитель Федеральной службы по\xa0надзору в\xa0сфере природопользованияСТАРОВОЙТ Роман Владимирович\xa0– Министр транспорта Российской ФедерацииЦИВИЛЕВ Сергей Евгеньевич\xa0– Министр энергетики Российской ФедерацииФАЙЗУЛЛИН Ирек Энварович\xa0– Министр строительства и\xa0жилищно-коммунального хозяйства Российской ФедерацииТЕКСЛЕР Алексей Леонидович\xa0– губернатор Челябинской области, председатель комиссии Государственного Совета Российской Федерации по\xa0направлению «Экономика и\xa0финансы»   Смотрите также  Совещание с\xa0членами Правительства 9 января 2025 года', 'url': 'http://kremlin.ru/supplement/6253'}]"
Владимир Путин поговорил по телефону с Ариной Порхал,2025-01-07,7 января 2025 года,No location,"Владимир Путин
позвонил девятикласснице Арине Порхал из Горловки – участнице благотворительной акции «Ёлка желаний».",http://kremlin.ru/events/president/news/76088,[]
Поздравление с Рождеством Христовым,2025-01-07,7 января 2025 года,No location,"Владимир Путин поздравил православных христиан, всех граждан России, празднующих Рождество Христово.",http://kremlin.ru/events/president/news/76087,[]
Новогоднее обращение к гражданам России,2024-12-31,31 декабря 2024 года,"Москва, Кремль",,http://kremlin.ru/events/president/news/76073,[]
Президент заслушал доклады о ходе СВО и поздравил военнослужащих с наступающим Новым годом,2024-12-31,31 декабря 2024 года,No location,,http://kremlin.ru/events/president/news/76074,[]
Поздравление главам государств и правительств с Новым годом,2024-12-30,30 декабря 2024 года,No location,"Владимир Путин тепло
поздравил с Рождеством и наступающим новым, 2025 годом руководителей целого ряда
государств.",http://kremlin.ru/events/president/news/76067,[]
Телефонный разговор с Президентом Казахстана Касым-Жомартом Токаевым,2024-12-28,28 декабря 2024 года,No location,По инициативе российской стороны состоялся телефонный разговор Владимира Путина с Президентом Республики Казахстан Касым-Жомартом Токаевым.,http://kremlin.ru/events/president/news/76015,[]
Телефонный разговор с Президентом Азербайджана Ильхамом Алиевым,2024-12-28,28 декабря 2024 года,No location,По инициативе российской стороны состоялся телефонный разговор Владимира Путина с Президентом Азербайджанской Республики Ильхамом Алиевым.,http://kremlin.ru/events/president/news/76003,[]
Совещание с постоянными членами Совета Безопасности,2024-12-28,28 декабря 2024 года,"Москва, Кремль","Владимир
Путин по видеосвязи провёл оперативное совещание с постоянными членами Совета
Безопасности.",http://kremlin.ru/events/president/news/75993,[]
Встреча с главой МЧС Александром Куренковым,2024-12-27,27 декабря 2024 года,"Москва, Кремль","Владимир
Путин провёл рабочую встречу с Министром по делам гражданской
обороны, чрезвычайным ситуациям и ликвидации последствий стихийных
бедствий Александром Куренковым.",http://kremlin.ru/events/president/news/75982,[]
Видеообращение по случаю Дня спасателя,2024-12-27,27 декабря 2024 года,No location,,http://kremlin.ru/events/president/news/75978,[]
Ответы на вопросы журналистов,2024-12-26,26 декабря 2024 года,Ленинградская область,"По окончании заседания
Высшего Евразийского экономического совета Владимир Путин ответил на вопросы
российских журналистов.",http://kremlin.ru/events/president/news/75974,[]
