title,date,raw_date,place,summary,article_full_text_1,article_full_text_2,article_full_text_3,article_full_text_4,article_full_text_5,article_full_text_6,article_full_text_7,article_full_text_8,article_full_text_9,article_full_text_10,url,supplement_url,supplement_title,supplement_date,supplement_full_text_1,supplement_full_text_2,supplement_full_text_3,supplement_full_text_4,supplement_full_text_5,supplement_full_text_6,supplement_full_text_7,supplement_full_text_8,supplement_full_text_9,supplement_full_text_10,Name_1,Name_10,Name_11,Name_12,Name_13,Name_14,Name_15,Name_16,Name_17,Name_18,Name_19,Name_2,Name_20,Name_21,Name_22,Name_23,Name_24,Name_25,Name_26,Name_27,Name_28,Name_29,Name_3,Name_30,Name_31,Name_32,Name_33,Name_34,Name_35,Name_36,Name_37,Name_38,Name_39,Name_4,Name_40,Name_41,Name_42,Name_43,Name_44,Name_45,Name_46,Name_47,Name_48,Name_49,Name_5,Name_50,Name_51,Name_52,Name_53,Name_54,Name_55,Name_56,Name_57,Name_58,Name_59,Name_6,Name_60,Name_61,Name_62,Name_63,Name_64,Name_7,Name_8,Name_9
Российско-китайские переговоры,2025-05-08,8 мая 2025 года,"Москва, Кремль",В Кремле началась беседа Владимира Путина с Председателем Китайской Народной Республики Си Цзиньпином.,"События Российско-китайские переговоры В Кремле началась беседа Владимира Путина с Председателем Китайской Народной Республики Си Цзиньпином. 8 мая 2025 года 10:10 Москва, Кремль Председатель КНР прибыл с официальным визитом в Российскую Федерацию для участия в торжественных мероприятиях, приуроченных к 80-й годовщине Победы в Великой Отечественной войне. В ходе переговоров будут обсуждены основные вопросы дальнейшего развития отношений всеобъемлющего партнёрства и стратегического взаимодействия, а также актуальные проблемы международной и региональной повестки дня. Планируется подписание целого ряда двусторонних межправительственных и межведомственных документов. География Китай Темы Великая Отечественная война Внешняя политика Лица Си Цзиньпин Статус материала Опубликован в разделе: Новости Дата публикации: 8 мая 2025 года, 10:10 Ссылка на материал: kremlin.ru/d/76870 Текстовая версия",,,,,,,,,,http://kremlin.ru/events/president/news/76870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Беседа с Президентом Республики Конго Дени Сассу-Нгессо,2025-05-07,7 мая 2025 года,"Москва, Кремль","Глава Российского государства принял в Кремле Президента Республики Конго Дени Сассу-Нгессо, который прибыл в Москву для участия в торжественных мероприятиях, посвящённых 80-летию Победы в Великой Отечественной войне.","События Беседа с Президентом Республики Конго Дени Сассу-Нгессо Глава Российского государства принял в Кремле Президента Республики Конго Дени Сассу-Нгессо, который прибыл в Москву для участия в торжественных мероприятиях, посвящённых 80-летию Победы в Великой Отечественной войне. 7 мая 2025 года 21:25 Москва, Кремль В.Путин : Уважаемый господин Президент, позвольте Вас сердечно поприветствовать! Наша сегодняшняя встреча проходит в привязке ко Дню Победы в Великой Отечественной войне. Знаю, что в 1940–1943 годах в вашей сегодняшней столице Браззавиле базировалось антигитлеровское движение «Свободная Франция», которое возглавлял человек, которого мы помним, знаем и относимся к нему, к его памяти с большим уважением – это руководитель этого движения и будущий Президент Франции господин Шарль де Голль. Он создал это движение «Свободная Франция», и именно в Браззавиле находилась штаб-квартира. Знаю, что конголезцы активно поддерживали эту работу. Смотрите также Участники беседы с Президентом Республики Конго Дени Сассу-Нгессо 7 мая 2025 года Ваше участие в мероприятиях 9 мая подтверждает подлинно дружественный характер двусторонних связей, основанных на праве, взаимном уважении. В прошлом году мы отметили 60-летие установления дипломатических отношений между нашими странами. Ценим, уважаемый господин Президент, что Вы уделяете такое внимание развитию наших отношений. Вы много раз бывали в нашей стране ещё во времена Советского Союза, а затем и позднее, в наше время. Показатели взаимной торговли стабильны: они в целом носят скромный характер, но мы постоянно работаем над тем, чтобы в этой сфере мы добивались нужных нам результатов. Давно и успешно ведётся подготовка в России конголезских национальных кадров, в наших вузах сейчас обучается порядка 750 ваших студентов, и ежегодно выделяется примерно 250 госстипендий, и мы готовы увеличивать эту квоту. Россия и Республика Конго солидарны в подходах к решению многих актуальных глобальных вопросов, вопросов глобальной повестки дня. Ценим ту совместную работу, которую мы проводим в Организации Объединённых Наций. Хотел бы подчеркнуть, что один из системных приоритетов российской внешней политики – укрепление связей со странами Африки. По итогам Петербургского саммита принят солидный пакет совместных документов, среди которых и развёрнутая декларация, и план действий до 2026 года. Работаем над их практической реализацией. Сегодня у нас будет возможность поговорить по всем этим вопросам, в том числе и по вопросам двусторонней повестки дня. Уважаемый господин Президент, ещё раз хочу подчеркнуть, что очень рад Вас видеть. Добро пожаловать в Россию! Д.Сассу-Нгессо Сассу-Нгессо Дени Президент Республики Конго (как переведено) : Благодарю Вас, господин Президент, дорогой друг. Я хотел бы искреннее Вас поблагодарить за предоставленную возможность – возможность принять участие в мероприятиях, посвящённых празднованию 80-летия Победы в Великой Отечественной войне. Благодарю Вас за Ваши усилия. Как Вы отметили, Браззавиль был столицей движения «Свободная Франция». После оккупации Франции фашистской Германией у Франции, по сути, не оставалось собственных территорий – были лишь колонии. Некоторые из этих территорий управлялись режимом Виши. В Центральной Африке, в Браззавиле, Шарль де Голль основал это движение, создал штаб-квартиру «Свободной Франции». Силы Конго, Габона, Центральноафриканской Республики, Камеруна, Чада участвовали в этом движении. Эти страны Центральной Африки боролись с нацизмом, и на самом деле они прошли до Парижа в составе второй дивизии, прошли по Елисейским полям. Мы видели собственными глазами следы, оставленные французскими войсками. Некоторые решили говорить лишь о французских войсках в контексте Победы, но были и конголезские солдаты, которые прошли до Елисейских полей, участвовали в этом марше. Народ Африки, господин Президент, участвовал в этом движении, и для нас это большая гордость. Мы ценим, что Вы помните об этом, помните о том, что мы тоже участвовали в борьбе с нацизмом – не только в составе вооружённых сил, но и благодаря нашим экономическим усилиям. В нашей стране население работало над производством каучука, потому что нам требовался этот ресурс для того, чтобы обеспечивать строительство дорог, [нужно было] добывать золото – нам нужны были деньги, чтобы бороться. В этом году мы участвуем в торжественных мероприятиях, посвящённых Великой Победе, и мы хотели бы воздать должное жертвам, совместным жертвам, которые были принесены нашими народами. Свыше 20 миллионов солдат сложили головы на поле битвы, они вошли в историю. Это были войска Советского Союза, они первыми вошли в Берлин и водрузили знамя над Рейхстагом. Мы хотели бы воздать должное этим людям и склонить головы перед их подвигом и мужеством – мужеством этих людей. Они прошли весь путь от Москвы до Берлина. Для нас это важный момент, для всех. Мы вместе празднуем эту Победу. Хотел бы отметить, что некоторые организовывали кампанию для того, чтобы отговорить нас от поездки, от участия в этих мероприятиях, но мы здесь. Благодарю Вас, господин Президент, за приём, который был оказан нашей делегации с момента прибытия – как и всегда, впрочем. Хотел бы также отметить усилия, которые мы предпринимаем для консолидации, для активизации нашего сотрудничества в сфере обороны, в сфере оснащения наших правоохранительных органов, в плане подготовки гражданских, военных кадров, как Вы уже отмечали. Есть и другие отрасли, такие, например, как энергетика. <…> География Конго Темы Великая Отечественная война Внешняя политика Лица Сассу-Нгессо Дени Статус материала Опубликован в разделах: Новости , Выступления и стенограммы Дата публикации: 7 мая 2025 года, 21:25 Ссылка на материал: kremlin.ru/d/76867 Текстовая версия",,,,,,,,,,http://kremlin.ru/events/president/news/76867,http://kremlin.ru/supplement/6303,Участники беседы с Президентом Республики Конго Дени Сассу-Нгессо,,"Участники беседы с Президентом Республики Конго Дени Сассу-Нгессо 7 мая 2025 года С российской стороны: ЛАВРОВ Сергей Викторович – Министр иностранных дел Российской Федерации НОВАК Александр Валентинович – Заместитель Председателя Правительства Российской Федерации ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации ПЕСКОВ Дмитрий Сергеевич – заместитель Руководителя Администрации Президента Российской Федерации – пресс-секретарь Президента Российской Федерации УШАКОВ Юрий Викторович – помощник Президента Российской Федерации БЕЛОУСОВ Андрей Рэмович – Министр обороны Российской Федерации АЛИХАНОВ Антон Андреевич – Министр промышленности и торговли Российской Федерации ЦИВИЛЕВ Сергей Евгеньевич – Министр энергетики Российской Федерации ШУГАЕВ Дмитрий Евгеньевич – директор Федеральной службы по военно-техническому сотрудничеству ПОПОВА Анна Юрьевна – руководитель Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека ЛИХАЧЁВ Алексей Евгеньевич – генеральный директор Государственной корпорации по атомной энергии «Росатом» МИХЕЕВ Александр Александрович – генеральный директор АО «Рособоронэкспорт» С конголезской стороны : Шарль Ришард МОНДЖО – Министр национальной обороны Республики Конго Жан-Клод ГАКОССО – Министр иностранных дел, Министр по делам франкофонии и конголезцев за рубежом Республики Конго Жан Доминик ОКЭМБА – Министр, Генеральный секретарь Национального Совета безопасности Республики Конго Франсуаз ЖОЛИ – личный представитель Президента Республики Конго по стратегическим вопросам и международным переговорам (в ранге Министра) Давид МАДУКА – Чрезвычайный и Полномочный Посол Республики Конго в Российской Федерации Амбруаз МОПЕНДЗА – генеральный директор Министерства обороны Республики Конго, ответственный за оснащение Клодиа ЛЭМБУМБА САССУ-НГЕССО – специальный советник, глава Департамента коммуникаций и связям с общественностью при Президенте Республики Конго Бьенвеню ОКИЕМИ – дипломатический советник Президента Республики Конго Ги Ноэль НГОЙА – советник Президента Республики Конго Пэгги Франсин НДОНГО – советник Президента Республики Конго Омар Дени Жюниор БОНГО ОНДИМБА – советник Президента Республики Конго Максент Рауль ОМИНГА – генеральный директор Национальной нефтяной компании Республики Конго Смотрите также Беседа с Президентом Республики Конго Дени Сассу-Нгессо 7 мая 2025 года",,,,,,,,,,ЛАВРОВ Сергей Викторович – Министр иностранных дел Российской Федерации,ПОПОВА Анна Юрьевна – руководитель Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека,ЛИХАЧЁВ Алексей Евгеньевич – генеральный директор Государственной корпорации по атомной энергии «Росатом»,МИХЕЕВ Александр Александрович – генеральный директор АО «Рособоронэкспорт»,"Клодиа ЛЭМБУМБА САССУ-НГЕССО – специальный советник, глава Департамента коммуникаций и связям с общественностью при Президенте Республики Конго",,,,,,,НОВАК Александр Валентинович – Заместитель Председателя Правительства Российской Федерации,,,,,,,,,,,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,,,,,,,,,,,ПЕСКОВ Дмитрий Сергеевич – заместитель Руководителя Администрации Президента Российской Федерации – пресс-секретарь Президента Российской Федерации,,,,,,,,,,,УШАКОВ Юрий Викторович – помощник Президента Российской Федерации,,,,,,,,,,,БЕЛОУСОВ Андрей Рэмович – Министр обороны Российской Федерации,,,,,,АЛИХАНОВ Антон Андреевич – Министр промышленности и торговли Российской Федерации,ЦИВИЛЕВ Сергей Евгеньевич – Министр энергетики Российской Федерации,ШУГАЕВ Дмитрий Евгеньевич – директор Федеральной службы по военно-техническому сотрудничеству
Встреча с Президентом Монголии Ухнагийн Хурэлсухом,2025-05-07,7 мая 2025 года,"Москва, Кремль","В Екатерининском зале Большого Кремлёвского дворца состоялась встреча Владимира Путина с Президентом Монголии Ухнагийн Хурэлсухом, прибывшим в Москву для участия в торжественных мероприятиях по случаю 80-летия Победы.","События Встреча с Президентом Монголии Ухнагийн Хурэлсухом В Екатерининском зале Большого Кремлёвского дворца состоялась встреча Владимира Путина с Президентом Монголии Ухнагийн Хурэлсухом, прибывшим в Москву для участия в торжественных мероприятиях по случаю 80-летия Победы. 7 мая 2025 года 20:10 Москва, Кремль В.Путин : Уважаемый господин Президент, дорогие друзья! Приветствую всех вас в Москве в канун знаменательного праздника – 80-летия Победы в Великой Отечественной войне. Очень рад Вашему личному участию в этих юбилейных мероприятиях. У наших стран есть героические страницы общей истории – в 2024 году исполнилось 85 лет нашей общей победе над японскими милитаристами на реке Халхин-Гол. Вместе с вами мы отмечали эту дату в ходе моего визита в Улан-Батор. Смотрите также Участники беседы с Президентом Монголии Ухнагийн Хурэлсухом 7 мая 2025 года В России ценят наше взаимодействие с Монголией в годы Великой Отечественной войны и в ходе разгрома Квантунской армии в 1945 году. Сформированная на средства простых аратов танковая колонна Красной армии и эскадрилья «Монгольский арат» воевали за нашу страну, за нашу общую Победу, и в августе 1945 года Монгольская народная армия принимала участие в операциях против японских войск. Мы все это помним и ценим. Отношения всеобъемлющего стратегического партнёрства с соседней и дружественной Монголией – один из приоритетов нашей политики. Развивается политический диалог, встречаются главы правительств, работает механизм консультаций по линии министерств иностранных дел. Налажено сотрудничество в области обороны и безопасности, межпарламентские связи, развиваются отношения в области культуры, образования. Монголия – наш важный торговый партнёр. В прошлом году товарооборот увеличился на 17,5 процента. По итогам первых двух месяцев этого года вырос ещё на 25 с лишним процентов. Неизменно откликаемся на просьбы наших монгольских друзей по различным направлениям, очень чувствительным и важным для Монголии, в том числе это касается и сотрудничества в энергетической сфере. Мы очень рады Вас видеть. Добро пожаловать! У.Хурэлсух Хурэлсух Ухнагийн Президент Монголии (как переведено) : Благодарю, уважаемый Президент. Уважаемый Владимир Владимирович, Президент Российской Федерации! Я весьма рад встретиться с Вами и по Вашему приглашению прибыть в город-герой Москву для участия в торжественных мероприятиях, посвящённых 80-летию Победы в Великой Отечественной войне. Великая Отечественная война является одной из важных побед всего человечества для установления мира и стабильности во всём мире. Она является действительно Победой всего нашего человечества. В самые трудные времена, в самые трудные годы мы пережили с вами все тяготы этой войны, и мы не должны это забывать. Великая Отечественная война, а именно историческая Победа, – мы никак не должны исказить эту важную, знаменательную дату, в том числе её историю для нас – вместе с вами. Поэтому Вас как Президента Российской Федерации и весь российский народ хотел бы поздравить с Победой в Великой Отечественной войне от имени всего монгольского народа. На этом мероприятии как раз присутствует личный состав вооружённых сил Монголии, которая принимает участие в торжественном праздновании 80-й годовщины Победы. Прошло 80 лет. Наши деды, прадеды вместе были в тягостное время этой войны, и в других военных действиях тоже мы были вместе и проходили этот промежуток времени. В Великой Отечественной войне, если говорить о самом начале, с самых первых дней монгольский народ всегда был с народом России. Мы преодолели этот тяжёлый период времени и применяли все возможности для того, чтобы пройти это время. Монгольская танковая бригада «Революционная Монголия», истребительная эскадрилья «Монгольский арат» и в том числе другие виды материальной помощи первой необходимости – монгольский народ щедро помогал российскому народу, для того чтобы мы могли обеспечить российский народ, для того чтобы он мог победить в этой войне. И монгольский народ благодарит российскую сторону за то, что мы внесли в это большой вклад. Также в прошлом году мы отмечали 85-летие совместной победы в битве на реке Халхин-Гол в 1939 году. В ходе этого осуществлён исторический визит Вами, уважаемый Президент. Это, конечно же, способствовало и заложило новый фундамент развитию, расширению взаимоотношений наших двух стран на всеобъемлющем стратегическом уровне. В ходе этого же визита мы провели вместе с Вами переговоры, в ходе которых мы обсудили все вопросы двустороннего взаимодействия, а также реализацию всех наших договорённостей на практике. Есть несколько вопросов, которые нам нужно обсудить вместе с Вами. Первый вопрос – тепловая электростанция – 3 города Улан-Батора, по которой мы заключили соглашение по модернизации и расширению. <…> География Монголия Темы Великая Отечественная война Внешняя политика Лица Хурэлсух Ухнагийн Статус материала Опубликован в разделах: Новости , Выступления и стенограммы Дата публикации: 7 мая 2025 года, 20:10 Ссылка на материал: kremlin.ru/d/76866 Текстовая версия",,,,,,,,,,http://kremlin.ru/events/president/news/76866,http://kremlin.ru/supplement/6302,Участники беседы с Президентом Монголии Ухнагийн Хурэлсухом,,"Участники беседы с Президентом Монголии Ухнагийн Хурэлсухом 7 мая 2025 года С российской стороны : ЛАВРОВ Сергей Викторович – Министр иностранных дел Российской Федерации ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации ПЕСКОВ Дмитрий Сергеевич – заместитель Руководителя Администрации Президента Российской Федерации – пресс-секретарь Президента Российской Федерации УШАКОВ Юрий Викторович – помощник Президента Российской Федерации КОЗЛОВ Александр Александрович – Министр природных ресурсов и экологии Российской Федерации, сопредседатель Межправительственной Российско-Монгольской комиссии по торгово-экономическому и научно-техническому сотрудничеству КРАВЦОВ Сергей Сергеевич – Министр просвещения Российской Федерации СТАРОВОЙТ Роман Владимирович – Министр транспорта Российской Федерации ЦИВИЛЕВ Сергей Евгеньевич – Министр энергетики Российской Федерации ПОПОВА Анна Юрьевна – руководитель Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека ФОМИН Александр Васильевич – заместитель Министра обороны Российской Федерации ЧИСТЮХИН Владимир Викторович – первый заместитель Председателя Центрального банка Российской Федерации ДМИТРИЕВ Кирилл Александрович – специальный представитель Президента Российской Федерации по инвестиционно-экономическому сотрудничеству с зарубежными странами, генеральный директор АО «Управляющая компания Российского фонда прямых инвестиций» ЛИХАЧЁВ Алексей Евгеньевич – генеральный директор Государственной корпорации по атомной энергии «Росатом» СЕЧИН Игорь Иванович – главный исполнительный директор, председатель правления ПАО «НК «Роснефть» С монгольской стороны : Батмунх БАТЦЭЦЭГ – член Великого Государственного Хурала, Министр иностранных дел Монголии Улзийсайхан ЭНХТУВШИН – Чрезвычайный и Полномочный Посол Монголии в Российской Федерации Гомбожав ЗАНДАНШАТАР – Руководитель Администрации Президента Монголии Бухчулуун ПУРЭВДОРЖ – заместитель Председателя Великого Государственного Хурала Монголии Жадамба БАТ-ЭРДЭНЭ – член Великого Государственного Хурала Монголии, председатель Постоянного комитета по государственному устройству Буяа ТУЛГА – член Великого Государственного Хурала Монголии, председатель Национального комитета по развитию пограничных переходов Сандаг БЯМБАЦОГТ – член Великого Государственного Хурала, Министр обороны Монголии Баттогтох ЧОЙЖИЛСУРЭН – член Великого Государственного Хурала, Министр энергетики Монголии Борхуу ДЭЛГЭРСАЙХАН – член Великого Государственного Хурала, Министр развития дорог и транспорта Монголии Нацагдорж БАТСУМБЭРЭЛ – член Великого Государственного Хурала Монголии Алтангэрэл БЯМБАЖАРГАЛ – Секретарь Совета Национальной безопасности Монголии Эрдэнэцогт ОДБАЯР – советник Президента Монголии по внешней политике Түвдэндорж ЖАНАБАЗАР – директор Департамента соседних стран Министерства иностранных дел Монголии Дэлгэрцэцэг УНУБИЛЭГТ – советник-посланник Посольства Монголии в Российской Федерации Смотрите также Встреча с Президентом Монголии Ухнагийн Хурэлсухом 7 мая 2025 года",,,,,,,,,,ЛАВРОВ Сергей Викторович – Министр иностранных дел Российской Федерации,ФОМИН Александр Васильевич – заместитель Министра обороны Российской Федерации,ЧИСТЮХИН Владимир Викторович – первый заместитель Председателя Центрального банка Российской Федерации,"ДМИТРИЕВ Кирилл Александрович – специальный представитель Президента Российской Федерации по инвестиционно-экономическому сотрудничеству с зарубежными странами, генеральный директор АО «Управляющая компания Российского фонда прямых инвестиций»",ЛИХАЧЁВ Алексей Евгеньевич – генеральный директор Государственной корпорации по атомной энергии «Росатом»,"СЕЧИН Игорь Иванович – главный исполнительный директор, председатель правления ПАО «НК «Роснефть»",,,,,,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,,,,,,,,,,,ПЕСКОВ Дмитрий Сергеевич – заместитель Руководителя Администрации Президента Российской Федерации – пресс-секретарь Президента Российской Федерации,,,,,,,,,,,УШАКОВ Юрий Викторович – помощник Президента Российской Федерации,,,,,,,,,,,"КОЗЛОВ Александр Александрович – Министр природных ресурсов и экологии Российской Федерации, сопредседатель Межправительственной Российско-Монгольской комиссии по торгово-экономическому и научно-техническому сотрудничеству",,,,,,,,,,,КРАВЦОВ Сергей Сергеевич – Министр просвещения Российской Федерации,,,,,,СТАРОВОЙТ Роман Владимирович – Министр транспорта Российской Федерации,ЦИВИЛЕВ Сергей Евгеньевич – Министр энергетики Российской Федерации,ПОПОВА Анна Юрьевна – руководитель Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека
Беседа с Президентом Кубы Мигелем Диас-Канелем Бермудесом,2025-05-07,7 мая 2025 года,"Москва, Кремль","Состоялась встреча Владимира Путина с Президентом Республики Куба Мигелем Диас-Канелем Бермудесом, прибывшим в Россию для участия в торжественных мероприятиях по случаю 80-летия Победы в Великой Отечественной войне.","События Беседа с Президентом Кубы Мигелем Диас-Канелем Бермудесом Состоялась встреча Владимира Путина с Президентом Республики Куба Мигелем Диас-Канелем Бермудесом, прибывшим в Россию для участия в торжественных мероприятиях по случаю 80-летия Победы в Великой Отечественной войне. 7 мая 2025 года 18:20 Москва, Кремль В.Путин: Уважаемый товарищ Диас-Канель! Дорогие друзья! Позвольте мне всех вас сердечно поприветствовать в Москве. Мы с Вами встречались ровно год назад, и хочу Вас поблагодарить за то, что Вы приняли решение и приехали в этом году в Москву, для того чтобы вместе с нами отметить круглую дату – 80 лет Победы над нацизмом. В нашей стране эта война называется Великой Отечественной, потому что весь народ – без всякого преувеличения – принял участие в отражении нацистской агрессии. Смотрите также Участники беседы с Президентом Кубы Мигелем Диас-Канелем Бермудесом 7 мая 2025 года Куба внесла свой вклад в дело борьбы с нацизмом. Знаю, что Вы сейчас начали свой визит с посещения Петербурга, Ленинграда, и хочу отметить, что добровольцы с Кубы как раз воевали вместе с воинами Красной армии, в том числе под Ленинградом. Весьма символично, что Ваш нынешний приезд совпал с 65-летием восстановления дипломатических отношений – как раз это было 8 мая 1960 года. Прошу передать самые наилучшие пожелания и привет товарищу Раулю Кастро. Мы очень рады Вас видеть. Добро пожаловать! М.Диас-Канель Бермудес (как переведено) : Дорогой Президент Путин! Для нас очень приятно находиться в Москве, мы чувствуем себя очень хорошо и благодарны Вам за Ваше приглашение. Действительно, мы отмечаем две знаменательные даты, которые нас объединяют в наших исторических связях. Первая, самая знаменательная дата, несомненно, это Победа в Великой Отечественной войне. И во-вторых, это 65-летие восстановления дипломатических отношений между нашими странами. Для нас особенно символично присутствовать на этот раз по случаю этих праздников, так как все наши усилия – для того, чтобы спасти историческую память в нынешнем контексте, когда растут попытки минимизировать лидирующую роль и героический подвиг Советского Союза, советского народа, Красной армии в Победе над фашизмом. Это Победа не только была в сохранении России, страны, но и Победа была для всего человечества. Думаю, что это большая заслуга – спасти человечество. Сейчас пытаются переписать историю и отказаться от этого наследия. Есть новые проявления фашизма на мировом уровне, и я считаю, что мы должны задаться целью рассказывать настоящую историю. Это лучшая дань памяти, которую мы можем преподнести. Поэтому мы выполняем долг, участвуя в торжественных мероприятиях и находясь вместе с Вами. Также хотел бы передать Вам тёплые объятия и приветствия от генерала армии Рауля Кастро в Ваш адрес. В части 65-летия восстановления дипломатических отношений: это отношения, которые, несмотря на все вызовы, преодолели испытания временем. Мы разделили вызовы, эмоции, программы, совместные проекты, и мы дошли до сегодняшнего дня – мы отмечаем 65-летие этих отношений. История показала, что только единство, основанное на сотрудничестве, солидарности и дружбе, позволит нам противостоять текущим вызовам и вызовам будущего. Очень рады находиться здесь сегодня с Вами. <…> География Куба Темы Великая Отечественная война Внешняя политика Лица Диас-Канель Бермудес Мигель Статус материала Опубликован в разделах: Новости , Выступления и стенограммы Дата публикации: 7 мая 2025 года, 18:20 Ссылка на материал: kremlin.ru/d/76863 Текстовая версия",,,,,,,,,,http://kremlin.ru/events/president/news/76863,http://kremlin.ru/supplement/6301,Участники беседы с Президентом Кубы Мигелем Диас-Канелем Бермудесом,,"Участники беседы с Президентом Кубы Мигелем Диас-Канелем Бермудесом 7 мая 2025 года С российской стороны : ЛАВРОВ Сергей Викторович – Министр иностранных дел Российской Федерации ЧЕРНЫШЕНКО Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации, председатель Российской части Межправительственной Российско-кубинской комиссии по торгово-экономическому и научно-техническому сотрудничеству ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации ПЕСКОВ Дмитрий Сергеевич – заместитель Руководителя Администрации Президента Российской Федерации – пресс-секретарь Президента Российской Федерации УШАКОВ Юрий Викторович – помощник Президента Российской Федерации РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации ЦИВИЛЕВ Сергей Евгеньевич – Министр энергетики Российской Федерации ПОПОВА Анна Юрьевна – руководитель Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека КУДРЯШОВ Сергей Иванович – генеральный директор АО «Зарубежнефть» СЕЧИН Игорь Иванович – главный исполнительный директор, председатель правления ПАО «НК «Роснефть» С кубинской стороны : Бруно Эдуардо РОДРИГЕС ПАРРИЛЬЯ – член Политбюро Центрального комитета Коммунистической партии Кубы, Министр иностранных дел Республики Куба Альваро ЛОПЕС МИЕРА – Министр революционных вооружённых сил Республики Куба Эмилио ЛОСАДА ГАРСИЯ – заведующий международным отделом Центрального комитета Коммунистической партии Кубы Оскар ПЕРЕС-ОЛИВА ФРАГА – Министр внешней торговли и иностранных инвестиций Республики Куба Хулио Антонио ГАРМЕНДИЯ ПЕНЬЯ – Чрезвычайный и Полномочный Посол Республики Куба в Российской Федерации Мануэль АЛОМА ЭРРЕРА – помощник Президента Республики Куба Илеана НУНЬЕС МОРДОЧЕ – директор Департамента стран Европы и Канады Министерства иностранных дел Республики Куба Летисиа МАРТИНЕС ЭРНАНДЕС – руководитель пресс-службы Президента Республики Куба Энрике ОРТА ГОНСАЛЕС – заместитель Чрезвычайного и Полномочного Посла Республики Куба в Российской Федерации Нельсон ТАМАЙО КАРО – начальник Секретариата Министра иностранных дел Республики Куба Смотрите также Беседа с Президентом Кубы Мигелем Диас-Канелем Бермудесом 7 мая 2025 года",,,,,,,,,,ЛАВРОВ Сергей Викторович – Министр иностранных дел Российской Федерации,КУДРЯШОВ Сергей Иванович – генеральный директор АО «Зарубежнефть»,"СЕЧИН Игорь Иванович – главный исполнительный директор, председатель правления ПАО «НК «Роснефть»",Эмилио ЛОСАДА ГАРСИЯ – заведующий международным отделом Центрального комитета Коммунистической партии Кубы,Оскар ПЕРЕС-ОЛИВА ФРАГА – Министр внешней торговли и иностранных инвестиций Республики Куба,Хулио Антонио ГАРМЕНДИЯ ПЕНЬЯ – Чрезвычайный и Полномочный Посол Республики Куба в Российской Федерации,Илеана НУНЬЕС МОРДОЧЕ – директор Департамента стран Европы и Канады Министерства иностранных дел Республики Куба,Летисиа МАРТИНЕС ЭРНАНДЕС – руководитель пресс-службы Президента Республики Куба,Нельсон ТАМАЙО КАРО – начальник Секретариата Министра иностранных дел Республики Куба,,,"ЧЕРНЫШЕНКО Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации, председатель Российской части Межправительственной Российско-кубинской комиссии по торгово-экономическому и научно-техническому сотрудничеству",,,,,,,,,,,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,,,,,,,,,,,ПЕСКОВ Дмитрий Сергеевич – заместитель Руководителя Администрации Президента Российской Федерации – пресс-секретарь Президента Российской Федерации,,,,,,,,,,,УШАКОВ Юрий Викторович – помощник Президента Российской Федерации,,,,,,,,,,,РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации,,,,,,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,ЦИВИЛЕВ Сергей Евгеньевич – Министр энергетики Российской Федерации,ПОПОВА Анна Юрьевна – руководитель Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека
