title,date,raw_date,place,summary,url,supplement_url,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10,Name_11,Name_12,Name_13,Name_14,Name_15,Name_16,Name_17,Name_18,Name_19,Name_20,Name_21,Name_22,Name_23,Name_24,Name_25,Name_26,Name_27,Name_28,Name_29,Name_30,Name_31,Name_32,Name_33,Name_34,Name_35,Name_36,Name_37,Name_38,Name_39,Name_40,Name_41,Name_42,Name_43,Name_44,Name_45,Name_46,Name_47,Name_48,Name_49,Name_50,Name_51,Name_52,Name_53,Name_54,Name_55,Name_56,Name_57,Name_58,Name_59,Name_60,Name_61,Name_62,Name_63,Name_64
Объявлены лауреаты премии Президента в области науки и инноваций для молодых учёных за 2024 год,2025-02-05,5 февраля 2025 года,Москва,Имена лауреатов на пресс-конференции объявили помощник Президента Андрей Фурсенко и председатель Координационного совета по делам молодёжи в научной и образовательной сферах Совета при Президенте по науке и образованию Никита Марченков.,http://kremlin.ru/events/president/news/76210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Тверской области Игорем Руденей,2025-02-04,4 февраля 2025 года,"Москва, Кремль",В Кремле состоялась рабочая встреча Владимира Путина с губернатором Тверской области Игорем Руденей.,http://kremlin.ru/events/president/news/76206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Министром просвещения Сергеем Кравцовым,2025-02-03,3 февраля 2025 года,"Москва, Кремль",Президент провёл рабочую встречу с Министром просвещения Сергеем Кравцовым.,http://kremlin.ru/events/president/news/76193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Патриархом Московским и всея Руси Кириллом,2025-02-01,1 февраля 2025 года,"Москва, Кремль",Владимир Путин поздравил предстоятеля Русской православной церкви с шестнадцатой годовщиной интронизации.,http://kremlin.ru/events/president/news/76191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с постоянными членами Совета Безопасности,2025-01-31,31 января 2025 года,"Московская область, Ново-Огарёво",Владимир Путин по видеосвязи провёл оперативное совещание с постоянными членами Совета Безопасности.,http://kremlin.ru/events/president/news/76187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Министром транспорта Романом Старовойтом,2025-01-30,30 января 2025 года,"Москва, Кремль",Глава государства провёл рабочую встречу с Министром транспорта Российской Федерации Романом Старовойтом.,http://kremlin.ru/events/president/news/76183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с главой Дагестана Сергеем Меликовым,2025-01-29,29 января 2025 года,"Москва, Кремль",Владимир Путин провёл в Кремле рабочую встречу с главой Республики Дагестан Сергеем Меликовым.,http://kremlin.ru/events/president/news/76182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рабочая встреча с губернатором Самарской области Вячеславом Федорищевым,2025-01-28,28 января 2025 года,Тольятти,"Завершая поездку в Самарскую область, Владимир Путин провёл отдельную встречу с главой региона Вячеславом Федорищевым.",http://kremlin.ru/events/president/news/76176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание по развитию беспилотных авиационных систем,2025-01-28,28 января 2025 года,Тольятти,В Тольятти Президент провёл совещание по вопросам развития беспилотных авиационных систем. Встреча состоялась на базе научно-производственного центра беспилотных авиационных систем «Самара».,http://kremlin.ru/events/president/news/76175,http://kremlin.ru/supplement/6264,"САВЕЛЬЕВ Виталий Геннадьевич – Заместитель Председателя Правительства Российской Федерации, председатель Правительственной комиссии по вопросам развития беспилотных авиационных систем, куратор национального проекта «Беспилотные авиационные системы»",ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,АЛИХАНОВ Антон Андреевич – Министр промышленности и торговли Российской Федерации,ФАЛЬКОВ Валерий Николаевич – Министр науки и высшего образования Российской Федерации,"ШАДАЕВ Максут Игоревич – Министр цифрового развития, связи и массовых коммуникаций Российской Федерации",КОМАРОВ Игорь Анатольевич – полномочный представитель Президента Российской Федерации в Приволжском федеральном округе,"ФЕДОРИЩЕВ Вячеслав Андреевич – губернатор Самарской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Промышленность»",СОБЯНИН Сергей Семенович – мэр Москвы,КРИВОРУЧКО Алексей Юрьевич – заместитель Министра обороны Российской Федерации,ЯДРОВ Дмитрий Викторович – руководитель Федерального агентства воздушного транспорта,"ПЕСКОВ Дмитрий Николаевич – специальный представитель Президента Российской Федерации по вопросам цифрового и технологического развития, генеральный директор АНО «Платформа Национальной технологической инициативы»","ГРЕФ Герман Оскарович – президент, председатель правления ПАО «Сбербанк»",ДИТРИХ Евгений Иванович – генеральный директор АО «Государственная транспортная лизинговая компания»,КОЗАРЕНКО Юрий Владимирович – генеральный директор ООО «Транспорт Будущего»,ШАЛЬКОВ Дмитрий Владиславович – помощник Президента Российской Федерации – начальник Контрольного управления Президента Российской Федерации,РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,СТАРОВОЙТ Роман Владимирович – Министр транспорта Российской Федерации,БОРТНИКОВ Александр Васильевич – директор Федеральной службы безопасности Российской Федерации,"КОТЮКОВ Михаил Михайлович – губернатор Красноярского края, председатель комиссии Государственного Совета Российской Федерации по направлению «Технологическое лидерство»",БОРИСОВ Юрий Иванович – генеральный директор Государственной корпорации по космической деятельности «Роскосмос»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение научно-производственного центра беспилотных авиационных систем «Самара»,2025-01-28,28 января 2025 года,Тольятти,"Владимир Путин посетил научно-производственный центр «Самара», который создан в рамках реализации национального проекта «Беспилотные авиационные системы» и является основой кластера беспилотной авиации в Самарской области.",http://kremlin.ru/events/president/news/76173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
