Date,Title
"April 1, 2025, 19:00",Meeting with President of Republika Srpska Milorad Dodik
"April 1, 2025, 16:30",Meeting with Foreign Minister of China Wang Yi
"April 1, 2025, 15:25",Meeting with permanent members of the Security Council
"April 1, 2025, 09:15",Greetings on the 30th anniversary of Channel One
"March 31, 2025, 17:00",Accreditation for journalists to cover celebrations of the 80th anniversary of Victory in the Great Patriotic War of 1941–1945 completed
"March 31, 2025, 13:30",Meeting with Director General of Roscosmos State Corporation Dmitry Bakanov
"March 31, 2025, 11:00",Greetings on the 125th anniversary of the Army General Khrulyov Military Logistics Academy
"March 30, 2025, 09:00",Greetings to Russian Muslims
"March 28, 2025, 15:45",Condolences to Prime Minister of Myanmar Min Aung Hlaing
"March 28, 2025, 15:30",Meeting with Leningrad Region Governor Alexander Drozdenko
"March 28, 2025, 14:50",Meeting with permanent members of the Security Council
"March 28, 2025, 13:05",Telephone conversation with President of Turkiye Recep Tayyip Erdogan
"March 28, 2025, 10:00",Congratulations to General Director of Khrunichev State Research and Production Space Centre Alexei Varochko
"March 27, 2025, 23:50",Ceremony for launching coal shipments from Lavna terminal
"March 27, 2025, 23:05",Meeting with participants of Rosatom children’s expeditions to the North Pole
"March 27, 2025, 23:00",Visit to Atomflot Maritime Operations Headquarters
"March 27, 2025, 22:30",Vladimir Putin visited Arkhangelsk nuclear-powered cruiser submarine
"March 27, 2025, 21:45",Launch of the Perm nuclear-powered submarine
"March 27, 2025, 20:40",Meeting with Murmansk Region Governor Andrei Chibis
"March 27, 2025, 20:15",The Arctic: Territory of Dialogue international forum
"March 27, 2025, 17:40",Meeting on the development of the Arctic Zone and the Arctic Transport Corridor
"March 27, 2025, 16:30",Presentation of master plans for core communities in the Arctic
"March 27, 2025, 16:00",Visit to the Defenders of the Arctic memorial
"March 27, 2025, 00:00",Greetings on National Guard Day
"March 26, 2025, 23:30",Meeting with Head of the Chuvash Republic Oleg Nikolayev
"March 26, 2025, 22:35",Yevgeny Solntsev appointed Acting Governor of the Orenburg Region
"March 26, 2025, 22:30",Denis Pasler appointed Acting Governor of the Sverdlovsk Region
"March 26, 2025, 21:55",Meeting with Yevgeny Solntsev
"March 26, 2025, 21:50",Meeting with Denis Pasler
"March 26, 2025, 18:40",Address at the opening ceremony of the Movement of the First congress
"March 26, 2025, 18:30",Meeting of the Movement of the First supervisory board
"March 26, 2025, 17:15",Visit to the Russia National Centre
"March 25, 2025, 21:45","A list of energy facilities of Russia and Ukraine covered by the temporary moratorium on strikes against the energy system, as agreed upon by the Russian and American sides"
"March 25, 2025, 18:55",Main outcomes of the Russia and United States expert groups meeting
"March 25, 2025, 18:45",Meeting of the Council for Culture and Art
"March 25, 2025, 16:30",Ceremony for presenting Presidential prizes to young culture professionals and for writing and art for children
